,tweets
276, es que esa es una de las politicas de uber si el conductor no entrega el objeto perdido lo bloquean hasta que entregue le cierran la cuenta bueno tu debes cancelar un valor de dolares 
277,esta vez fue con mayflower pido un chaulafan vegetariano me envían chaufarin de lomo para colmo me envian un mensaje que solo me reembolsarán una parte de lo que pagué gracias por dejarme sin comer robarme parte de lo que pagué 
278, pague por una carrera veces 
279, su número es guayaquil 
280, pública su número sus nombres para contratarlo se lo merece honrado buena gente
281, no pero le reconocí 
282, le invitó un juguito al caballero 
283, siiiii estoy contentísima
284, cheverazo liz 
285, hoy se bebe 
286, hoy no duermo de la felicidad 
287, que bacán 
288,el señor de muy amablemente me entregó mi objeto olvidado en su auto hasta mi casa fe en la humanidad restaurada 
289,nunca hay que vaina 
290,y por que es en tarjeta me cancelo emputado de esta gente esta bien que ellos decidan quien llevar no pero no es justo que me hagan perder el tiempo esperandolos por mas de minutos para que luego salgan con eso 
291, me envías una por uber soy de ecuador
292, atender por favor 
293, en argentina nos preguntaban eso hahahaha los manes de uber suelen decir que la compañía no les deposita tiempo lo es con tarjeta por eso veces no les gusta tomar esas carreras 
294,no sé en qué parte se convirtió en una cooperativa de taxis cualquiera 
295,que clase de servicio brinda al no ser capaces de ponerte una persona con la quien puedas solucionar un problema tan simple como facilitar el numero de un conductor en este caso fue un celular si se tratara de un caso de abuso secuestro con quien se habla 
