,tweets
296, buenas tardes realice un pedido me debitaron de la tarjeta de crédito no se generó el pedido en cajun deseo el reembolso de mi dinero 
297, siempre es lo mismo si es tarjeta cancelan el viaje 
298, en la ciudad de machala ecuador la app uber driver se desconecta todas las noches como que no hay cobertura no se puede hacer carreras 
299, como es posibke que cancelen una orden porque hay muchos carros en garita porque tiene otro pedido esto es una burla de servicio al cliente 
300, para no pasar por estos malestares use el servicio de mensajería logística en guayaquil confiables experiencia en todo lo que hacemos conformamos esta noble microempresa guayaquileña estamos en instagram facebook twitter 
301, eso es muy normal para uber ecuador ellos aplauden los malos conductores que roban los usuarios
302, hola buenas soy una persona trans de ecuador se me ha echo difícil modificar mis nombres en la app ya saque mi identificación nueva pero me ponen muchas trabas dificultando laborar en la app me parece una discriminación para los derechos como seres
303, increíble ñaño uno confía en un servicio supuestamente garantizado sale mal parado pilas no confiar en esta clase de servicios gracias por compartirlo ñaño para tomar precaución 
304, que pedimos servicio va tres errores de aplicación retenciones mi tarjeta espero no ver cobros en mi tarjeta que pésimo cómo ha decaído su servicio
305, mi hermano ya fue las oficinas le dijeron que no se hacen responsables uds reciben cualquier delincuente en sus filas recuerden que estamos en ecuador las precauciones que deben tomar deben ser más exhaustivas
306,apoyen con rt no se les ocurra pedir encargos con mi hermano pidió que le traigan su ropa zapatos recién adquiridos nunca llegaron el conductor dijo entregó mi bro fue las oficinas solucionar los de se lavaron las manos 
307, por favor necesito mis lentes 
308, ecuador algunos de sus conductores están prestando un pésimo servicio solicité una carrera un conductor me fue asignado pero nunca llegó según el mapa lo veo alejándose no cancela la carrera si la cancelo yo me cobran mí 
309, ven ecuador te pago el uber
310, les escribí por interno por un pedido que realice nunca llegó ni siquiera llamo el motorizado me cobraron
311, tienen choferes de lo peor este tipo con este celular me tuvo media hora esperando jamas contesto solo queria que le cancele el viaje para llevarse un dolar sin hacer nada esta lloviendo maldito 
312, definitivamente hay que desinstalar dejar de usar todas sus no es la primera vez que pasa espero que te devuelvan hasta el último centavo les mandamos del país 
313,sres sugiero no contratar unidades que descarten viajes buscando sólo pagos en efectivo es una pésima imagen su servicio que lamentablemente lo generan los trabajadores 
314,jajaj casi minutos por dólares estás recontra mal ese servicio verifica las rutas el tiempo se te van tus unidades la competencia por esa razón 
315,desde el día sábado tratando de comunicarme con el conductor hice el reclamo ante no me pudieron resolver se me quedó un objeto en el vehículo el señor jamás me contestó uber me dijo que tampoco pudo contactarse 
316, te mando en un uber desde ecuador 
317,uber está un asco pésimo servicio los conductores cancelan aceptan carreras estando lejísimos cada vez que el uber cancela es un cobro más mi tarjeta porfa recomiéndeme compañía de taxis porque no volveré usar uber 
319, se cayeron mis lentes en un uber o s
320,imaginas el uber ecuador te vendería 
321,la viveza criolla los carros de están haciendo la ruta más larga para no llegar al punto para el usuario cancele el viaje que le carguen el valor de la multa por cancelacion deben revisar estos patrones para sacar esos conductores 
322, ponte pilas
323,hoy solicite el servicio de entrega en alrededor de las pm el repartidor no cierra el viaje aún le escribí no me contesta uber tampoco me da una solución cada vez me decepciono mas de este tipos de apps 
324,ni más vuelvo usar el servicio ya varias veces noto que los taxistas ponen como si no se les paga completo cuando se les paga el total ni más 
325, su centro de ayuda devuelvan el dinero nunca llego su conductor inicio el viaje sin mí le llamé al conductor dijo que estaba en camino nunca llego esta es la respuesta de su robot 
326, ya son el colmo pido un taxi nunca llego pero si hizo el viaje sin mi cobro aprovecho que era con tarjeta tengo la placa el vehículo que es chevrolet aveo pbi un conductor llamado diego vinicio eso según entiendo se llama robo 
327, sigo esperando respuesta de dos incidentes antes presentados pero ustedes no responden ni dan un solución un nuevo problema se presenta nadie responde ni dónde llamar 
328, es la nueva modalidad de los de aceptan carreras se alejan del punto de partida toca cancelar para se le sumen el costo penalidad ellos me pasó lo mismo 
329,luego de haber cargado gasolina en un establecimiento hoy hicieron una compra con mi tarjeta de crédito en por casi lo que posiblemente significa que la persona que me cargó robó mi información la utilizó para su beneficio estoy furiosa 
330, al menos te devolvieron el dinero mi me pasó lo mismo no me quisieron devolver me contestó una man ahí toda malcriada ya 
331,entonces me vuelvo contactar con soporte me dicen le hemos cancelado el pedido devuelto el dinero sin explicación sin disculpas wtf con el trato al consumidor 
332, hola lamentamos lo sucedido por favor envíanos tu nombre completo teléfono para comunicarnos contigo lo antes posible 
333,excelente artículo recién en un seminario me preguntaban por qué en ecuador se pagaban impuestos por servicios como uber netflix bueno con vergüenza respondí que acá somos expertos en castigar la iniciativa privada para premiar la ineficiencia pública 
334,ósea que debo tener suelto de paso no entiendo porque siempre ellos te cancelan pero si uno cancela la carrera si te cobran 
335,es la segunda vez que hago un pedido por la segunda vez que viene mal el pedido este pedido lo hice en las del mall de sol que pésimo servicio
336, es una lástima se contaminaron lo que es peor son los mismos taxistas que ahora también van con esas app la final nadie hará nada queda en nuestras manos así sea me voy pie 
337,a los conductores de se les ha dado por preguntar dónde va el cliente si nos les conviene cancelan el viaje me recuerda los taxistas que preguntaban dónde va ah para allá no voy 
339, he tratado de comunicarme con ustedes para que me faciliten con una respuesta sobre el inconveniente que estoy pasando lo cual pedí un viaje la am desde un inicio empezó todo mal ya que el conductor decidió empezar la carrera 
340, vale verga su aplicación cómo puede haber combos de dolare si su aplicación solo permite pedidos de hasta programen bien su huevada 
341, estafando sus clientes desde siempre yo soy el gil que vuelve pedir por esa app no se responsabilizan de sus repartidores uno se queda sin pedido con el dinero perdido un desastre 
342, nuevamente mi pedido no llega en la aplicación sale como completado nunca me llamaron ni tocaron el timbre de mi casa me van devolver el dinero a enviarme el pedido se van volver quedar con mi dinero sin cumplir su parte 
343, ojalá 
344, es que desde la app no podía ir porque creo que como la orden no salió no me sale dentro de los antecedentes pero igual me cobraron era una promoción de naturissimo que parece caducó mientras estaba haciendo el pedido ojalá me paren bola 
345, contacta en aunque en la misma app puedes ir account orders help 
346, te suelen devolver la plata al ratito la última vez no me acuerdo si tardaron minutos hora jajajaj
347,si ubereats me acaba de hacer un recargo la tarjeta pero canceló mi pedido por las mismas cómo hago la cuenta de está con candado me imagino que no está activa 
348, necesito que reporten este usuario el peor servicio de la vida ni realiza el viaje ni lo cancela se aleja cada vez más 
349, que se puede esperar de este venezolano así como todos los que han venido al ecuador ni para uber sirven yo pensaba que la idiotez de maduro era individual pero ha sido general sin duda 
350,señores si saben que no cumplo con los requisitos entonces para qué me envían el mail con el descuento 
351,tres viajes me cancelaron cuando uno cancela quieren cobrar por la cancelación cuando ustedes cancelan todo queda ahi mi tiempo no vale 
352,esto es lo que jamás entenderé lo peor es que cuando uno cancela nos penalizan por el tiempo del conductor cuando nos cancelan ellos no importa nuestro tiempo 
353, con más 
354, ecuador das un mal servicio caro los conductores se demoran mucho en venir te hacen esperar una barbaridad luego te cancelan la carrera trabaja con taxis vienen más rápido es más económico 
355,alguien que le diga los conductores de que no pueden mortificar al cliente con la tarifa el precio de la gasolina este conductor me dijo que el ride no incluye prender el aire acondicionado 
